"Units","ScalingFactors","MinDate","observationPeriods","NumPlaces","StatVar","MeasurementMethods"
"[USDollar]","[]","1970","[P1Y]","22","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryMEX","[]"
"[USDollar]","[]","1970","[P1Y]","11","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySEN","[]"
"[USDollar]","[]","1983","[P1Y]","11","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryCOL","[]"
"[USDollar]","[]","1981","[P1Y]","7","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryHND","[]"
"[USDollar]","[]","1970","[P1Y]","45","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountrySRB","[, WorldBankProjection]"
"[USDollar]","[]","1994","[P1Y]","11","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryKAZ","[, WorldBankProjection]"
"[USDollar]","[]","2013","[P1Y]","12","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCaribbeanCommunity","[, WorldBankProjection]"
"[USDollar]","[]","1977","[P1Y]","57","AmountPrincipalRepayment_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderAfricanDevBank","[]"
"[USDollar]","[]","1971","[P1Y]","118","AmountPrincipalRepayment_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderWorldBankIDA","[]"
"[USDollar]","[]","1995","[P1Y]","10","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryUZB","[]"
"[USDollar]","[]","1977","[P1Y]","15","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryNZL","[]"
"[USDollar]","[]","1970","[P1Y]","17","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCentralAmericanBankforEconIntegration","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","51","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderArabBankforEconomicDevinAfrica","[, WorldBankProjection]"
"[USDollar]","[]","1994","[P1Y]","5","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderInternationalInvestmentBank","[]"
"[USDollar]","[]","1991","[P1Y]","9","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryCPV","[]"
"[USDollar]","[]","1996","[P1Y]","25","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountrySVK","[]"
"[USDollar]","[]","1970","[P1Y]","134","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt","[, WorldBankProjection]"
"[USDollar]","[]","1993","[P1Y]","9","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryLBY","[]"
